O1	28	28	2.060241	4	2.441176	28	2.75	00	0.065574	0.901639	0.067797
O2	3	10	2.076923	3	3.25	6	4.333333	0.0	0.076923	1.230769	0.407407
O3	37	114	1.985612	4	6.619048	41	34.75	0.0	0.045455	0.734848	0.177966
O4	10	21	2.341463	3	4.555555	10	13.666667	0.0	0.814815	0.740741	0.444444
05	19	19	1.136364	2	5.5	19	11.0	0.090909	0.590909	0.136364	0.930233
O6	29	103	3.180556	6	3.512195	29	24.0	0.020979	0.65035	0.825175	0.325714
O7	59	59	1.016667	2	30.0	59	30.0	0.083333	0.016667	0.016667	0.909091
O8	1	54	3.710526	5	3.304348	28	15.2	0.0	0.605263	0.986826	0.418605
O9	12	11	1.565217	3	2.3	12	2.0	0.120526	0.789474	1.052632	0.5
O10	2	2	1.0	1	2.0	2	2.0	1.0	0.0	0.0	0.0
O11	2	10	3.285714	5	2.333333	4	4.2	0.058824	0.0	0.1	0.3464154
O12	2	2	1.0	1	2.0	2	2.0	1.0	0.0	0.0	0.0
O13	6	8	1.333333	2	4.5	6	4.5	0.0	0.0	0.870968	0.357143
O14	92	101	1.12	3	20.833333	111	41.666667	0.007634	0.312977	0.877863	0.590747
O15	52	68	1.351648	3	18.2	71	30.333333	0.005556	0.188889	2.25	0.264973
O16	3	7	2.2	3	2.5	5	3.333333	0.0	0.454545	1.636364	0.307692
O17	8	18	3.387097	6	2.214286	8	5.166667	0.0	0.16129	1.451613	0.285714
O18	3	3	1.25	2	2.0	3	2.0	0.25	0.25	0.25	0.875
O19	17	27	1.433333	2	7.5	17	15.0	0.133333	0.5	0.433333	0.59375
O20	2	2	1.0	1	2.0	2	2.0	0.0	0.666667	0.3333333	0.5
O21	8	170	3.504464	7	4.148148	20	32.0	0.0	0.080717	0.96861	0.205882
O22	4	12	1.733333	2	5.0	10	7.5	0.142857	0.214286	0.785714	0.266667
O23	8	8	1.0	1	29.0	29	29.0	0.068966	1.034483	2.413793	0.44
O24	3	11	1.785714	2	3.5	5	7.0	0.0	0.0	0.785714	0.0
O25	8	794	4.309329	9	5.605505	96	135.777778	0.0	0.069431	2.853423	0.453656
O26	67	79	1.373737	4	12.375	79	24.75	0.020408	0.306122	0.918367	0.536082
O27	5	33	2.585366	4	4.555556	10	10.25	0.056604	0.0	1.018868	0.298701
O28	48	126	1.33871	2	18.6	246	186.0	0.0	0.010929	2.278689	0.291419
O29	9	77	2.139785	3	5.470588	20	31.0	0.0	0.032258	0.967742	0.391892
O30	1	30	3.051282	4	3.9	11	9.75	0.025641	0.0	3.512821	0.048611
O31	2	11	2.117647	3	4.25	7	5.666667	0.04	1.04	0.88	0.12
O32	175	130	1.884615	4	2.771574	175	136.5	0.0	0.555205	2.413249	0.070474
O33	34	51	1.86	9	7.5	220	33.333333	0.00365	0.313869	2.211679	0.296167
O34	14	14	1.066667	2	7.5	14	7.5	0.0	0.2	0.066667	0.97561
O35	4	4	1.0	1	4.0	4	4.0	0.0	2.5	0.0	1.0
O36	14	76	1.842697	2	6.357143	17	44.5	0.078652	0.078652	0.842697	0.166667
O37	4	6	1.75	3	2.666667	4	2.666667	0.0	0.333333	0.555556	0.5
O38	7	10	1.133333	2	15.0	26	15.0	0.0	0.0	1.741935	0.298701
O39	7	25	1.941176	3	4.25	9	11.333333	0.0	0.235294	0.882353	0.577465
O40	1	1549	10.096663	16	4.159184	51	127.375	0378007	0.0	0.999509	4.91
O41	8	117	5.030928	10	1.69186	13	29.1	0.022026	0.054983	0.989691	0.102804
O42	7	25	1.140541	3	30.833333	162	61.666667	0.0	0.0	1.741935	0.298701
O43	7	8	1.068966	2	14.5	27	14.5	0.0	0.162996	1.762115	0.113082
O44	4	34	2.354839	4	7.75	25	15.5	0.10303	0.794118	2.558824	0.198157
O45	3	131	4.418182	6	4.714286	19	27.5	0.010101	0.210884	1.55102	0.161765
O46	14	38	2.04902	6	3.923077	52	17.0	0.0	0.175758	0.987879	0.151042
O47	1	1	1.5	2	1.0	1	1.0	0.02439	0.414141	0.909091	0.479769
O48	12	16	1.205128	2	7.8	31	19.5	0.153846	0.065574	0.5	0.5
O49	5	6	1.777778	4	2.25	5	2.25	0.291667	0.076923	2.073171	0.413793
O50	14	16	1.434783	3	2.875	14	7.666667	00	0.045455	2.538462	0.459016
